Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-LIMD1KO-C10-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh)
CPNE7,9.68E-01,9.90E-01,1.16E+00,1.16E+00,1.26E+01,1.09E+01
BCS1L,2.49E-01,5.71E-01,1.16E+00,1.16E+00,1.15E+01,9.87E+00
AGPAT1,7.28E-02,2.94E-01,1.16E+00,1.16E+00,2.49E+01,2.14E+01
SNX6P1,2.79E-01,6.05E-01,1.16E+00,1.16E+00,7.51E+00,6.46E+00
TRUB1,6.46E-01,8.63E-01,1.16E+00,1.16E+00,2.16E+01,1.86E+01
RPL21P16,1.79E-01,4.84E-01,1.16E+00,1.16E+00,3.22E+02,2.78E+02
YAE1D1,7.24E-01,9.00E-01,1.16E+00,1.16E+00,8.43E+00,7.26E+00
EIF4HP1,7.25E-01,9.00E-01,1.16E+00,1.16E+00,2.72E+00,2.34E+00
NEDD9,4.43E-01,7.51E-01,1.16E+00,1.16E+00,5.99E+01,5.16E+01
STRN,2.74E-01,6.00E-01,1.16E+00,1.16E+00,2.60E+01,2.24E+01
UBAP2,2.82E-02,1.65E-01,1.16E+00,1.16E+00,7.56E+01,6.52E+01
DHX37,3.04E-01,6.33E-01,1.16E+00,1.16E+00,2.67E+01,2.30E+01
AL034430.1,4.55E-01,7.60E-01,1.16E+00,1.16E+00,5.02E+01,4.32E+01
PLD2,6.02E-01,8.46E-01,1.16E+00,1.16E+00,4.47E+00,3.85E+00
AP000525.1,6.78E-01,8.77E-01,1.16E+00,1.16E+00,1.24E+01,1.07E+01
KIF3B,2.82E-02,1.65E-01,1.16E+00,1.16E+00,7.03E+01,6.06E+01
ZCCHC9,1.47E-01,4.36E-01,1.16E+00,1.16E+00,2.54E+01,2.19E+01
MORN2,4.98E-01,7.84E-01,1.16E+00,1.16E+00,1.08E+01,9.31E+00
AL355802.2,8.23E-01,9.38E-01,1.16E+00,1.16E+00,1.24E+00,1.06E+00
TNS2,5.16E-01,7.97E-01,1.16E+00,1.16E+00,9.31E+00,8.02E+00
IRF5,4.50E-01,7.57E-01,1.16E+00,1.16E+00,3.02E+00,2.60E+00
LINC01184,3.51E-01,6.77E-01,1.16E+00,1.16E+00,1.96E+01,1.69E+01
PDHB,4.82E-01,7.75E-01,1.16E+00,1.16E+00,3.37E+01,2.91E+01
ACLY,6.15E-02,2.68E-01,1.16E+00,1.16E+00,4.00E+02,3.45E+02
ATXN1,2.89E-01,6.17E-01,1.16E+00,1.16E+00,8.95E+00,7.72E+00
TMEM223,8.55E-02,3.23E-01,1.16E+00,1.16E+00,4.83E+01,4.16E+01
ESPL1,4.46E-01,7.53E-01,1.16E+00,1.16E+00,5.49E+00,4.73E+00
SPRYD3,2.08E-01,5.22E-01,1.16E+00,1.16E+00,1.96E+01,1.69E+01
SPINT2,9.35E-01,9.79E-01,1.16E+00,1.16E+00,1.00E+02,8.65E+01
FCHSD2,3.77E-01,6.99E-01,1.16E+00,1.16E+00,7.00E+00,6.04E+00
EFL1,3.81E-01,7.03E-01,1.16E+00,1.16E+00,2.31E+01,1.99E+01
LMAN1,5.48E-02,2.50E-01,1.16E+00,1.16E+00,1.00E+02,8.64E+01
NKIRAS2,2.04E-01,5.17E-01,1.16E+00,1.16E+00,5.57E+01,4.81E+01
MEIS2,1.37E-01,4.19E-01,1.16E+00,1.16E+00,2.01E+01,1.73E+01
IMMT,2.95E-02,1.69E-01,1.16E+00,1.16E+00,1.33E+02,1.15E+02
GTF2B,6.69E-01,8.74E-01,1.16E+00,1.16E+00,5.70E+00,4.91E+00
PLEKHA7,9.42E-01,9.82E-01,1.16E+00,1.16E+00,4.74E+00,4.09E+00
C3orf52,6.49E-01,8.64E-01,1.16E+00,1.16E+00,1.88E+00,1.63E+00
DUSP28,5.42E-01,8.14E-01,1.16E+00,1.16E+00,4.55E+00,3.93E+00
ATP5PDP2,3.05E-01,6.34E-01,1.16E+00,1.16E+00,1.41E+00,1.22E+00
SLC16A4,4.08E-01,7.25E-01,1.16E+00,1.16E+00,9.48E+00,8.18E+00
CUL2,2.87E-01,6.14E-01,1.16E+00,1.16E+00,1.45E+01,1.25E+01
HEATR1,7.45E-02,2.99E-01,1.16E+00,1.16E+00,8.85E+01,7.64E+01
ERG28,7.43E-01,9.07E-01,1.16E+00,1.16E+00,1.53E+01,1.32E+01
TBK1,2.54E-01,5.76E-01,1.16E+00,1.16E+00,1.89E+01,1.63E+01
GBF1,2.54E-01,5.76E-01,1.16E+00,1.16E+00,4.57E+01,3.94E+01
MAFG-DT,6.10E-01,8.50E-01,1.16E+00,1.16E+00,2.66E+01,2.29E+01
URB1,7.43E-02,2.98E-01,1.16E+00,1.16E+00,1.63E+01,1.41E+01
GLTP,2.09E-01,5.23E-01,1.16E+00,1.16E+00,2.49E+01,2.15E+01
AC005899.4,4.31E-01,7.42E-01,1.16E+00,1.16E+00,2.70E+01,2.33E+01
ORC2,3.35E-02,1.84E-01,1.16E+00,1.16E+00,2.65E+01,2.29E+01
SSBP2,2.85E-01,6.12E-01,1.16E+00,1.16E+00,2.91E+00,2.51E+00
R3HDM2,9.55E-02,3.44E-01,1.16E+00,1.16E+00,2.52E+01,2.18E+01
ACTR2,1.85E-02,1.27E-01,1.16E+00,1.16E+00,3.09E+02,2.67E+02
RIMKLB,2.60E-01,5.84E-01,1.16E+00,1.16E+00,1.50E+01,1.29E+01
ALG6,3.97E-01,7.16E-01,1.16E+00,1.16E+00,7.62E+00,6.58E+00
AADAT,7.56E-01,9.12E-01,1.16E+00,1.16E+00,3.48E+00,3.00E+00
AIP,2.68E-01,5.94E-01,1.16E+00,1.16E+00,2.25E+01,1.94E+01
AL359918.1,6.68E-01,8.73E-01,1.16E+00,1.16E+00,8.22E+00,7.10E+00
GRPEL2,8.12E-01,9.34E-01,1.16E+00,1.16E+00,1.08E+01,9.30E+00
PDK3,3.08E-01,6.37E-01,1.16E+00,1.16E+00,7.44E+00,6.43E+00
TRMU,1.98E-01,5.11E-01,1.16E+00,1.16E+00,1.40E+01,1.21E+01
MSH3,2.36E-01,5.55E-01,1.16E+00,1.16E+00,4.72E+01,4.07E+01
HAX1,1.09E-01,3.70E-01,1.16E+00,1.16E+00,5.76E+01,4.98E+01
SETDB1,1.29E-01,4.07E-01,1.16E+00,1.16E+00,1.38E+01,1.19E+01
PHYKPL,5.28E-01,8.06E-01,1.16E+00,1.16E+00,3.34E+00,2.89E+00
MTHFR,1.64E-01,4.60E-01,1.16E+00,1.16E+00,1.23E+01,1.06E+01
POLR2D,8.46E-02,3.22E-01,1.16E+00,1.16E+00,3.49E+01,3.02E+01
GMCL1,1.10E-01,3.71E-01,1.16E+00,1.16E+00,2.88E+01,2.49E+01
YARS,4.80E-02,2.30E-01,1.16E+00,1.16E+00,6.09E+01,5.26E+01
VSIG10L,8.93E-01,9.63E-01,1.16E+00,1.16E+00,6.73E+00,5.82E+00
STK4,3.29E-02,1.81E-01,1.16E+00,1.16E+00,5.92E+01,5.11E+01
NEDD4L,2.07E-01,5.21E-01,1.16E+00,1.16E+00,2.50E+01,2.16E+01
ZNF599,7.26E-01,9.00E-01,1.16E+00,1.16E+00,2.04E+00,1.76E+00
LINC00667,4.03E-01,7.20E-01,1.16E+00,1.16E+00,5.06E+00,4.38E+00
HIST2H2BE,6.44E-01,8.62E-01,1.16E+00,1.16E+00,2.39E+00,2.06E+00
NCAPD3,1.79E-01,4.84E-01,1.16E+00,1.16E+00,2.10E+01,1.82E+01
MAP3K21,3.42E-01,6.69E-01,1.16E+00,1.16E+00,2.23E+01,1.93E+01
MTHFS,8.21E-01,9.38E-01,1.16E+00,1.16E+00,2.41E+01,2.08E+01
BX322650.1,4.65E-01,7.65E-01,1.16E+00,1.16E+00,5.40E+00,4.67E+00
ATG14,4.68E-01,7.66E-01,1.16E+00,1.16E+00,1.76E+01,1.52E+01
OS9,1.95E-01,5.06E-01,1.16E+00,1.16E+00,6.51E+01,5.63E+01
CROT,3.47E-01,6.74E-01,1.16E+00,1.16E+00,8.91E+00,7.71E+00
TICAM1,6.92E-01,8.85E-01,1.16E+00,1.16E+00,1.72E+00,1.49E+00
MRPS17,1.33E-01,4.13E-01,1.16E+00,1.16E+00,3.83E+01,3.31E+01
HOMER1,1.24E-01,3.97E-01,1.16E+00,1.16E+00,2.51E+01,2.17E+01
PIGS,5.40E-02,2.48E-01,1.16E+00,1.16E+00,4.46E+01,3.86E+01
DENND6A,6.35E-01,8.58E-01,1.16E+00,1.16E+00,5.99E+00,5.18E+00
COMMD10,3.77E-01,6.99E-01,1.16E+00,1.16E+00,1.62E+01,1.40E+01
RALGAPB,2.07E-01,5.21E-01,1.16E+00,1.16E+00,2.14E+01,1.85E+01
FAM91A1,1.80E-01,4.84E-01,1.16E+00,1.16E+00,3.09E+01,2.67E+01
CCDC61,5.82E-01,8.36E-01,1.16E+00,1.16E+00,2.19E+00,1.90E+00
NRBF2,2.32E-01,5.51E-01,1.16E+00,1.16E+00,1.81E+01,1.57E+01
BOLA2B,2.48E-01,5.71E-01,1.16E+00,1.16E+00,1.35E+02,1.16E+02
ANKRD36,2.86E-01,6.13E-01,1.16E+00,1.16E+00,5.05E+01,4.37E+01
TMEM198B,6.09E-01,8.50E-01,1.16E+00,1.16E+00,1.11E+00,9.58E-01
AL354836.1,3.97E-01,7.16E-01,1.16E+00,1.16E+00,3.86E+00,3.34E+00
NICN1,8.05E-01,9.31E-01,1.15E+00,1.15E+00,4.53E+00,3.92E+00
LAMTOR4,1.43E-01,4.30E-01,1.15E+00,1.15E+00,4.79E+01,4.15E+01
RUNX1,3.02E-01,6.30E-01,1.15E+00,1.15E+00,5.46E+00,4.73E+00
HIF1AN,1.58E-01,4.52E-01,1.15E+00,1.15E+00,3.82E+01,3.30E+01
RANBP2,4.59E-02,2.23E-01,1.15E+00,1.15E+00,8.69E+01,7.52E+01
HIP1R,3.71E-01,6.95E-01,1.15E+00,1.15E+00,3.60E+00,3.12E+00
ROCK2,4.59E-03,5.06E-02,1.15E+00,1.15E+00,3.03E+02,2.62E+02
NSUN4,2.16E-01,5.31E-01,1.15E+00,1.15E+00,1.32E+01,1.14E+01
GIPC1,3.21E-01,6.50E-01,1.15E+00,1.15E+00,3.89E+01,3.36E+01
ERC1,1.42E-01,4.28E-01,1.15E+00,1.15E+00,8.03E+01,6.96E+01
ZBED5,2.55E-01,5.78E-01,1.15E+00,1.15E+00,4.43E+01,3.84E+01
CCT8P1,3.80E-01,7.02E-01,1.15E+00,1.15E+00,5.60E+00,4.85E+00
MOB3C,6.02E-01,8.46E-01,1.15E+00,1.15E+00,1.93E+00,1.68E+00
ZNF449,4.90E-01,7.80E-01,1.15E+00,1.15E+00,3.32E+00,2.88E+00
PSMD12,9.65E-02,3.46E-01,1.15E+00,1.15E+00,1.02E+02,8.84E+01
EPAS1,2.68E-01,5.94E-01,1.15E+00,1.15E+00,8.65E+01,7.50E+01
GTF2F2,2.22E-01,5.39E-01,1.15E+00,1.15E+00,4.60E+01,3.99E+01
NAP1L1,1.70E-01,4.70E-01,1.15E+00,1.15E+00,7.42E+02,6.43E+02
PSMB8,8.13E-01,9.35E-01,1.15E+00,1.15E+00,7.58E+00,6.57E+00
MYO9A,2.90E-02,1.68E-01,1.15E+00,1.15E+00,4.46E+01,3.86E+01
RAB15,3.02E-01,6.31E-01,1.15E+00,1.15E+00,2.91E+01,2.52E+01
ZNF641,5.61E-01,8.25E-01,1.15E+00,1.15E+00,5.74E+00,4.98E+00
ITPKC,7.28E-01,9.01E-01,1.15E+00,1.15E+00,5.68E+00,4.93E+00
CDKAL1,4.20E-01,7.34E-01,1.15E+00,1.15E+00,1.16E+01,1.01E+01
COG2,2.76E-01,6.02E-01,1.15E+00,1.15E+00,1.34E+01,1.16E+01
CRLS1,6.25E-01,8.55E-01,1.15E+00,1.15E+00,1.96E+01,1.70E+01
TWNK,1.64E-01,4.61E-01,1.15E+00,1.15E+00,2.69E+01,2.33E+01
VTRNA1-3,6.24E-01,8.54E-01,1.15E+00,1.15E+00,2.16E+00,1.88E+00
TGOLN2,7.78E-02,3.07E-01,1.15E+00,1.15E+00,2.15E+02,1.86E+02
CEP295,1.48E-01,4.37E-01,1.15E+00,1.15E+00,3.66E+01,3.17E+01
DENND5A,3.54E-01,6.80E-01,1.15E+00,1.15E+00,1.04E+01,9.04E+00
SLC36A4,2.35E-01,5.54E-01,1.15E+00,1.15E+00,1.61E+01,1.40E+01
TBC1D5,4.81E-02,2.30E-01,1.15E+00,1.15E+00,5.67E+01,4.92E+01
STARD3NL,5.29E-01,8.06E-01,1.15E+00,1.15E+00,1.52E+01,1.32E+01
GZF1,2.43E-01,5.65E-01,1.15E+00,1.15E+00,1.34E+01,1.17E+01
AL133243.2,6.97E-01,8.87E-01,1.15E+00,1.15E+00,1.01E+00,8.80E-01
RPP38,3.09E-01,6.38E-01,1.15E+00,1.15E+00,3.02E+01,2.62E+01
LRRC8D,3.94E-01,7.14E-01,1.15E+00,1.15E+00,1.76E+01,1.52E+01
SLC35B1,4.19E-01,7.34E-01,1.15E+00,1.15E+00,5.30E+01,4.60E+01
PPP1CB,5.97E-01,8.44E-01,1.15E+00,1.15E+00,7.99E+01,6.93E+01
PSMD12P,3.90E-01,7.12E-01,1.15E+00,1.15E+00,2.24E+00,1.94E+00
IBTK,5.98E-02,2.64E-01,1.15E+00,1.15E+00,1.03E+02,8.92E+01
YIF1B,4.46E-01,7.53E-01,1.15E+00,1.15E+00,2.47E+01,2.15E+01
ZNF775,6.25E-01,8.55E-01,1.15E+00,1.15E+00,5.42E+00,4.70E+00
L3HYPDH,5.66E-01,8.28E-01,1.15E+00,1.15E+00,8.78E+00,7.62E+00
CLK1,2.02E-01,5.15E-01,1.15E+00,1.15E+00,1.27E+01,1.10E+01
ISCU,4.56E-01,7.60E-01,1.15E+00,1.15E+00,2.18E+01,1.89E+01
UBE3C,6.33E-02,2.72E-01,1.15E+00,1.15E+00,6.17E+01,5.36E+01
SLC35A4,1.80E-01,4.85E-01,1.15E+00,1.15E+00,3.06E+01,2.66E+01
SEC14L2,3.95E-01,7.16E-01,1.15E+00,1.15E+00,4.20E+00,3.64E+00
TVP23CP2,7.73E-01,9.19E-01,1.15E+00,1.15E+00,1.26E+01,1.09E+01
AP002748.3,6.30E-01,8.57E-01,1.15E+00,1.15E+00,1.28E+00,1.11E+00
PFDN6,9.42E-02,3.42E-01,1.15E+00,1.15E+00,2.38E+01,2.07E+01
GHDC,4.88E-01,7.79E-01,1.15E+00,1.15E+00,4.73E+00,4.11E+00
UBC,8.74E-02,3.27E-01,1.15E+00,1.15E+00,5.42E+02,4.71E+02
C12orf76,8.61E-01,9.53E-01,1.15E+00,1.15E+00,5.25E+00,4.56E+00
RN7SL832P,5.76E-01,8.32E-01,1.15E+00,1.15E+00,3.11E+00,2.70E+00
SGMS1,4.28E-01,7.40E-01,1.15E+00,1.15E+00,1.26E+01,1.09E+01
MRPL42,4.70E-01,7.67E-01,1.15E+00,1.15E+00,4.08E+01,3.55E+01
IFIT5,7.20E-01,8.97E-01,1.15E+00,1.15E+00,7.80E+00,6.78E+00
POLK,1.84E-01,4.92E-01,1.15E+00,1.15E+00,3.38E+01,2.93E+01
BLVRA,1.28E-01,4.05E-01,1.15E+00,1.15E+00,3.74E+01,3.25E+01
TDP2,4.87E-01,7.78E-01,1.15E+00,1.15E+00,9.71E+00,8.44E+00
YDJC,3.95E-01,7.15E-01,1.15E+00,1.15E+00,2.49E+01,2.16E+01
AC067942.2,5.49E-01,8.18E-01,1.15E+00,1.15E+00,3.53E+00,3.07E+00
CMTM4,2.01E-01,5.14E-01,1.15E+00,1.15E+00,2.06E+01,1.79E+01
PPP4R1,1.06E-01,3.66E-01,1.15E+00,1.15E+00,3.23E+01,2.81E+01
UBN2,1.92E-01,5.02E-01,1.15E+00,1.15E+00,2.82E+01,2.45E+01
NPM1P39,4.18E-01,7.32E-01,1.15E+00,1.15E+00,3.47E+01,3.02E+01
DDX47,4.56E-01,7.60E-01,1.15E+00,1.15E+00,1.68E+01,1.46E+01
NQO2,1.11E-01,3.74E-01,1.15E+00,1.15E+00,2.26E+01,1.96E+01
TRIM23,4.65E-01,7.65E-01,1.15E+00,1.15E+00,8.31E+00,7.22E+00
HSPA4L,1.20E-01,3.92E-01,1.15E+00,1.15E+00,5.01E+01,4.36E+01
OGG1,2.71E-01,5.97E-01,1.15E+00,1.15E+00,1.84E+01,1.60E+01
LRRFIP1P1,5.83E-01,8.36E-01,1.15E+00,1.15E+00,4.98E+00,4.34E+00
ARHGAP12,2.38E-01,5.57E-01,1.15E+00,1.15E+00,5.64E+01,4.91E+01
AC015912.3,5.92E-01,8.41E-01,1.15E+00,1.15E+00,5.59E+00,4.86E+00
KDM6A,4.14E-01,7.30E-01,1.15E+00,1.15E+00,8.47E+00,7.36E+00
GPR39,7.95E-01,9.27E-01,1.15E+00,1.15E+00,4.81E+00,4.18E+00
ZNF710,5.23E-01,8.03E-01,1.15E+00,1.15E+00,4.64E+00,4.03E+00
MT-ATP8,3.24E-01,6.52E-01,1.15E+00,1.15E+00,1.29E+04,1.13E+04
ZNF638,1.15E-01,3.80E-01,1.15E+00,1.15E+00,1.19E+02,1.03E+02
SSX2IP,1.71E-01,4.72E-01,1.15E+00,1.15E+00,3.01E+01,2.62E+01
RCN1,3.49E-02,1.87E-01,1.15E+00,1.15E+00,1.35E+02,1.17E+02
PHOSPHO2,7.05E-01,8.91E-01,1.15E+00,1.15E+00,1.36E+00,1.18E+00
ZNF267,2.91E-01,6.19E-01,1.15E+00,1.15E+00,1.57E+01,1.37E+01
FBXL19,6.61E-01,8.69E-01,1.15E+00,1.15E+00,6.68E+00,5.81E+00
CGGBP1,1.14E-01,3.79E-01,1.15E+00,1.15E+00,2.78E+01,2.42E+01
DALRD3,3.50E-01,6.76E-01,1.15E+00,1.15E+00,1.41E+01,1.23E+01
KLHDC9,5.03E-01,7.88E-01,1.15E+00,1.15E+00,8.02E-01,6.99E-01
PTPN12,2.34E-01,5.53E-01,1.15E+00,1.15E+00,7.86E+01,6.84E+01
ROCK1,7.52E-02,3.00E-01,1.15E+00,1.15E+00,1.46E+02,1.27E+02
TNFRSF10A,1.43E-01,4.30E-01,1.15E+00,1.15E+00,5.66E+01,4.93E+01
PFKL,3.84E-01,7.07E-01,1.15E+00,1.15E+00,1.97E+01,1.71E+01
C2CD2L,5.55E-01,8.20E-01,1.15E+00,1.15E+00,4.19E+00,3.65E+00
ZNF594,4.69E-01,7.66E-01,1.15E+00,1.15E+00,1.96E+00,1.71E+00
COIL,1.55E-01,4.48E-01,1.15E+00,1.15E+00,4.82E+01,4.20E+01
MFHAS1,1.62E-01,4.57E-01,1.15E+00,1.15E+00,1.33E+02,1.16E+02
RP9,3.82E-01,7.04E-01,1.15E+00,1.15E+00,3.57E+01,3.11E+01
RAB4A,2.09E-01,5.23E-01,1.15E+00,1.15E+00,2.36E+01,2.05E+01
TRAPPC2L,2.45E-01,5.68E-01,1.15E+00,1.15E+00,7.19E+01,6.26E+01
SELENOM,5.65E-01,8.28E-01,1.15E+00,1.15E+00,7.04E+00,6.13E+00
COPS9,2.54E-01,5.76E-01,1.15E+00,1.15E+00,6.59E+01,5.74E+01
PHGDH,2.27E-01,5.45E-01,1.15E+00,1.15E+00,2.38E+01,2.07E+01
MNAT1,4.33E-01,7.44E-01,1.15E+00,1.15E+00,3.58E+01,3.12E+01
PPM1B,1.93E-01,5.03E-01,1.15E+00,1.15E+00,2.81E+01,2.45E+01
NUTM2B-AS1,2.22E-01,5.38E-01,1.15E+00,1.15E+00,2.17E+01,1.89E+01
CCDC93,1.85E-01,4.93E-01,1.15E+00,1.15E+00,2.14E+01,1.87E+01
CEP290,1.71E-01,4.71E-01,1.15E+00,1.15E+00,8.94E+01,7.79E+01
GPATCH11,6.07E-02,2.67E-01,1.15E+00,1.15E+00,3.24E+01,2.82E+01
ENTPD6,2.35E-01,5.55E-01,1.15E+00,1.15E+00,3.46E+01,3.02E+01
DDX1,1.76E-02,1.23E-01,1.15E+00,1.15E+00,1.83E+02,1.59E+02
MCOLN2,5.45E-01,8.15E-01,1.15E+00,1.15E+00,3.52E+00,3.07E+00
RCL1,9.98E-01,1.00E+00,1.15E+00,1.15E+00,2.59E+01,2.26E+01
PARP9,4.20E-01,7.34E-01,1.15E+00,1.15E+00,8.03E+00,7.00E+00
ZNF512,2.00E-01,5.13E-01,1.15E+00,1.15E+00,1.59E+01,1.39E+01
RHOQP2,6.30E-01,8.57E-01,1.15E+00,1.15E+00,1.46E+01,1.27E+01
SLC25A26,3.57E-01,6.82E-01,1.15E+00,1.15E+00,1.58E+01,1.38E+01
CDKN3,1.54E-01,4.46E-01,1.15E+00,1.15E+00,6.35E+01,5.54E+01
Mar-07,1.23E-01,3.97E-01,1.15E+00,1.15E+00,4.23E+01,3.69E+01
RBM23,1.08E-01,3.69E-01,1.15E+00,1.15E+00,3.17E+01,2.77E+01
IFNAR1,3.15E-01,6.44E-01,1.15E+00,1.15E+00,2.80E+01,2.44E+01
ACBD5,1.32E-01,4.12E-01,1.15E+00,1.15E+00,5.03E+01,4.39E+01
TXLNG,1.14E-01,3.80E-01,1.15E+00,1.15E+00,4.88E+01,4.26E+01
ADD3,6.96E-02,2.86E-01,1.15E+00,1.15E+00,1.86E+01,1.62E+01
NUFIP1P,4.87E-01,7.79E-01,1.15E+00,1.15E+00,1.40E+01,1.22E+01
TM2D3,5.33E-01,8.08E-01,1.15E+00,1.15E+00,1.74E+01,1.52E+01
MYO1C,1.08E-01,3.68E-01,1.15E+00,1.15E+00,1.71E+02,1.49E+02
RUBCN,4.02E-01,7.20E-01,1.15E+00,1.15E+00,9.52E+00,8.31E+00
GPRC5D-AS1,7.15E-01,8.95E-01,1.15E+00,1.15E+00,3.42E+00,2.98E+00
NUBPL,3.48E-01,6.75E-01,1.15E+00,1.15E+00,2.21E+01,1.92E+01
PGRMC1,3.76E-01,6.99E-01,1.15E+00,1.15E+00,5.57E+01,4.86E+01
FBXO30,4.11E-01,7.27E-01,1.15E+00,1.15E+00,1.27E+01,1.11E+01
PPARD,7.56E-01,9.12E-01,1.15E+00,1.15E+00,1.32E+00,1.15E+00
SOS1,6.74E-02,2.82E-01,1.15E+00,1.15E+00,3.90E+01,3.40E+01
PPA2,5.68E-01,8.29E-01,1.15E+00,1.15E+00,2.51E+01,2.19E+01
PCID2,2.46E-01,5.68E-01,1.15E+00,1.15E+00,1.76E+01,1.53E+01
MAPK6,1.70E-01,4.69E-01,1.15E+00,1.15E+00,8.88E+01,7.75E+01
P4HA1,1.89E-01,4.98E-01,1.15E+00,1.15E+00,2.94E+01,2.57E+01
C5orf22,5.80E-01,8.35E-01,1.15E+00,1.15E+00,1.09E+01,9.52E+00
RWDD2B,2.01E-01,5.14E-01,1.15E+00,1.15E+00,1.77E+01,1.55E+01
TCTN3,3.57E-01,6.82E-01,1.15E+00,1.15E+00,2.36E+01,2.06E+01
FAM71D,5.96E-01,8.43E-01,1.15E+00,1.15E+00,8.72E+00,7.61E+00
DDX46,2.53E-02,1.54E-01,1.15E+00,1.15E+00,2.72E+02,2.38E+02
ACOT9,1.31E-01,4.10E-01,1.15E+00,1.15E+00,4.94E+01,4.31E+01
ZBTB10,6.84E-01,8.81E-01,1.15E+00,1.15E+00,1.09E+01,9.53E+00
RABL3,3.47E-01,6.74E-01,1.15E+00,1.15E+00,1.13E+01,9.83E+00
FARSB,8.64E-02,3.25E-01,1.14E+00,1.14E+00,6.14E+01,5.36E+01
SRGAP2C,1.82E-01,4.89E-01,1.14E+00,1.14E+00,3.40E+01,2.97E+01
ANAPC13,2.04E-01,5.17E-01,1.14E+00,1.14E+00,3.02E+01,2.64E+01
AGPS,2.01E-01,5.14E-01,1.14E+00,1.14E+00,2.87E+01,2.51E+01
CBS,4.71E-01,7.68E-01,1.14E+00,1.14E+00,5.95E+00,5.19E+00
ADPRHL1,4.04E-01,7.21E-01,1.14E+00,1.14E+00,5.08E+00,4.44E+00
ASCC3,1.19E-01,3.89E-01,1.14E+00,1.14E+00,3.97E+01,3.47E+01
AC040169.1,8.54E-01,9.50E-01,1.14E+00,1.14E+00,2.22E+00,1.94E+00
SUDS3,1.75E-01,4.77E-01,1.14E+00,1.14E+00,4.18E+01,3.65E+01
OSTM1,3.43E-01,6.69E-01,1.14E+00,1.14E+00,1.98E+01,1.73E+01
ANKRD40,7.52E-01,9.10E-01,1.14E+00,1.14E+00,2.71E+01,2.37E+01
B9D2,3.39E-01,6.66E-01,1.14E+00,1.14E+00,1.64E+01,1.43E+01
AL023284.3,6.38E-01,8.59E-01,1.14E+00,1.14E+00,2.85E+00,2.49E+00
CDK12,1.45E-02,1.09E-01,1.14E+00,1.14E+00,1.17E+02,1.02E+02
ZSCAN16-AS1,3.26E-01,6.54E-01,1.14E+00,1.14E+00,5.84E+00,5.11E+00
SYNGR2,5.79E-02,2.60E-01,1.14E+00,1.14E+00,1.54E+02,1.35E+02
AC015911.4,4.68E-01,7.66E-01,1.14E+00,1.14E+00,5.21E+00,4.56E+00
SENP8,8.13E-01,9.35E-01,1.14E+00,1.14E+00,2.20E+00,1.93E+00
PPP1R21,4.49E-01,7.56E-01,1.14E+00,1.14E+00,1.05E+01,9.22E+00
MASTL,1.70E-01,4.69E-01,1.14E+00,1.14E+00,2.07E+01,1.81E+01
EXTL2,2.38E-01,5.57E-01,1.14E+00,1.14E+00,1.50E+01,1.31E+01
TNFRSF6B,9.10E-01,9.71E-01,1.14E+00,1.14E+00,8.19E-01,7.16E-01
SIPA1L3,4.48E-01,7.55E-01,1.14E+00,1.14E+00,2.89E+01,2.53E+01
PGD,1.26E-01,4.01E-01,1.14E+00,1.14E+00,3.10E+02,2.71E+02
FAUP1,1.41E-01,4.25E-01,1.14E+00,1.14E+00,9.07E+01,7.94E+01
MBTPS2,1.46E-01,4.34E-01,1.14E+00,1.14E+00,2.60E+01,2.28E+01
TASP1,5.56E-01,8.21E-01,1.14E+00,1.14E+00,6.57E+00,5.75E+00
ZDHHC6,1.80E-01,4.86E-01,1.14E+00,1.14E+00,2.31E+01,2.02E+01
CCDC103,6.56E-01,8.68E-01,1.14E+00,1.14E+00,3.58E+00,3.13E+00
KLHL9,3.73E-01,6.96E-01,1.14E+00,1.14E+00,4.44E+01,3.88E+01
PRR3,6.34E-01,8.58E-01,1.14E+00,1.14E+00,5.40E+00,4.73E+00
CHAMP1,3.01E-01,6.30E-01,1.14E+00,1.14E+00,1.68E+01,1.47E+01
RIPK1,2.47E-01,5.69E-01,1.14E+00,1.14E+00,1.37E+01,1.20E+01
WDR35,4.85E-01,7.77E-01,1.14E+00,1.14E+00,7.81E+00,6.84E+00
TIFA,6.84E-01,8.81E-01,1.14E+00,1.14E+00,4.00E+00,3.50E+00
FASTKD2,7.09E-01,8.93E-01,1.14E+00,1.14E+00,1.90E+01,1.66E+01
NFKB2,4.95E-01,7.82E-01,1.14E+00,1.14E+00,2.35E+01,2.06E+01
TUT1,5.25E-01,8.04E-01,1.14E+00,1.14E+00,6.79E+00,5.94E+00
ARID1B,1.42E-01,4.27E-01,1.14E+00,1.14E+00,4.28E+01,3.75E+01
MIPOL1,3.85E-01,7.07E-01,1.14E+00,1.14E+00,5.64E+00,4.94E+00
EIF3CL,3.91E-01,7.13E-01,1.14E+00,1.14E+00,1.27E+02,1.12E+02
