Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-LIMD1KO-C5-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),
TRMT61A,2.12E-01,5.55E-01,1.23E+00,1.23E+00,1.09E+01,8.90E+00,0.293477382
AC004816.1,4.63E-01,7.78E-01,1.23E+00,1.23E+00,5.17E+00,4.22E+00,0.29334475
BRWD3,9.84E-02,3.83E-01,1.23E+00,1.23E+00,2.66E+01,2.17E+01,0.293243903
COG8,1.10E-01,4.03E-01,1.23E+00,1.23E+00,3.92E+01,3.20E+01,0.293115892
KTI12,7.98E-01,9.45E-01,1.23E+00,1.23E+00,3.21E+00,2.62E+00,0.293107575
SERTAD2,2.09E-01,5.51E-01,1.23E+00,1.23E+00,1.47E+01,1.20E+01,0.293018751
GALNT7,8.48E-02,3.54E-01,1.23E+00,1.23E+00,2.84E+01,2.31E+01,0.292982085
RNASEH2C,2.66E-02,1.80E-01,1.23E+00,1.23E+00,2.62E+01,2.14E+01,0.292967734
AC010132.3,2.97E-01,6.45E-01,1.23E+00,1.23E+00,7.76E+00,6.33E+00,0.292824088
TSGA10,4.18E-01,7.49E-01,1.22E+00,1.22E+00,3.36E+00,2.74E+00,0.292742648
AGMAT,3.99E-01,7.35E-01,1.22E+00,1.22E+00,6.74E+00,5.50E+00,0.292672833
VPS33A,8.01E-02,3.44E-01,1.22E+00,1.22E+00,2.29E+01,1.87E+01,0.29262525
RECQL,5.71E-02,2.86E-01,1.22E+00,1.22E+00,5.90E+01,4.81E+01,0.292442311
PIGN,1.01E-01,3.87E-01,1.22E+00,1.22E+00,1.40E+01,1.14E+01,0.292438995
SCFD1,5.21E-02,2.71E-01,1.22E+00,1.22E+00,4.41E+01,3.60E+01,0.292379617
PLEKHA8P1,5.97E-01,8.58E-01,1.22E+00,1.22E+00,8.00E+00,6.54E+00,0.2923081
AC006504.5,3.15E-01,6.62E-01,1.22E+00,1.22E+00,1.35E+01,1.11E+01,0.292255164
MT-ATP6,1.93E-02,1.48E-01,1.22E+00,1.22E+00,1.16E+04,9.50E+03,0.292244129
MYO9B,1.46E-01,4.65E-01,1.22E+00,1.22E+00,1.51E+01,1.23E+01,0.292241456
AC107027.3,4.70E-01,7.83E-01,1.22E+00,1.22E+00,1.05E+00,8.56E-01,0.292237101
PDIA5,6.30E-01,8.73E-01,1.22E+00,1.22E+00,1.01E+01,8.29E+00,0.292221922
FAM91A1,4.20E-02,2.38E-01,1.22E+00,1.22E+00,3.09E+01,2.52E+01,0.292184275
SMKR1,5.43E-01,8.29E-01,1.22E+00,1.22E+00,5.74E+00,4.69E+00,0.292103679
CD109,2.95E-02,1.91E-01,1.22E+00,1.22E+00,2.90E+01,2.37E+01,0.292098917
MNT,8.40E-02,3.53E-01,1.22E+00,1.22E+00,1.95E+01,1.60E+01,0.292044659
NUFIP1P,2.65E-01,6.14E-01,1.22E+00,1.22E+00,1.40E+01,1.15E+01,0.291955557
GSS,1.16E-01,4.14E-01,1.22E+00,1.22E+00,2.97E+01,2.42E+01,0.291952102
FBXL2,5.14E-01,8.13E-01,1.22E+00,1.22E+00,2.57E+00,2.10E+00,0.291877216
CDH4,8.79E-01,9.71E-01,1.22E+00,1.22E+00,2.39E+01,1.95E+01,0.291871865
EIF3CL,1.60E-01,4.84E-01,1.22E+00,1.22E+00,1.27E+02,1.04E+02,0.291753488
BLVRB,7.15E-02,3.23E-01,1.22E+00,1.22E+00,1.74E+02,1.43E+02,0.291681658
EIF4BP6,1.51E-01,4.72E-01,1.22E+00,1.22E+00,1.92E+01,1.57E+01,0.291678104
MBD4,1.42E-02,1.23E-01,1.22E+00,1.22E+00,6.25E+01,5.10E+01,0.291544889
IRF2BP2,3.59E-02,2.17E-01,1.22E+00,1.22E+00,1.08E+02,8.85E+01,0.291497042
TNPO1,3.55E-02,2.15E-01,1.22E+00,1.22E+00,4.07E+02,3.32E+02,0.291461704
TEPSIN,3.64E-01,7.06E-01,1.22E+00,1.22E+00,1.23E+01,1.00E+01,0.29138677
NORAD,1.68E-01,4.95E-01,1.22E+00,1.22E+00,8.41E+01,6.87E+01,0.291291877
UFM1,3.99E-02,2.30E-01,1.22E+00,1.22E+00,2.92E+01,2.38E+01,0.291257711
UGDH,6.68E-02,3.11E-01,1.22E+00,1.22E+00,2.86E+02,2.34E+02,0.291213079
PAFAH1B1,1.64E-02,1.33E-01,1.22E+00,1.22E+00,9.20E+01,7.52E+01,0.291099512
TSR1,6.45E-04,1.47E-02,1.22E+00,1.22E+00,1.04E+02,8.48E+01,0.290998378
GNE,3.72E-01,7.13E-01,1.22E+00,1.22E+00,9.25E+00,7.56E+00,0.290868918
PPHLN1,9.47E-03,9.46E-02,1.22E+00,1.22E+00,8.47E+01,6.93E+01,0.290833908
SENP8,6.21E-01,8.69E-01,1.22E+00,1.22E+00,2.20E+00,1.80E+00,0.290714311
HSD11B1L,4.72E-01,7.84E-01,1.22E+00,1.22E+00,9.07E-01,7.41E-01,0.290709151
SUSD6,3.89E-01,7.28E-01,1.22E+00,1.22E+00,4.40E+00,3.60E+00,0.290659038
IFT172,5.37E-01,8.25E-01,1.22E+00,1.22E+00,2.32E+00,1.90E+00,0.290541094
TTLL5,1.13E-01,4.08E-01,1.22E+00,1.22E+00,1.86E+01,1.52E+01,0.290398396
ERLEC1,4.45E-02,2.46E-01,1.22E+00,1.22E+00,5.44E+01,4.45E+01,0.290373477
ALKBH4,1.92E-01,5.32E-01,1.22E+00,1.22E+00,9.34E+00,7.64E+00,0.290238599
OSR2,6.91E-01,9.03E-01,1.22E+00,1.22E+00,1.95E+00,1.59E+00,0.290203526
CUEDC1,2.07E-02,1.55E-01,1.22E+00,1.22E+00,7.55E+01,6.17E+01,0.290201867
EIF4G2,6.17E-02,2.99E-01,1.22E+00,1.22E+00,8.80E+02,7.19E+02,0.29011318
DMWD,2.09E-01,5.52E-01,1.22E+00,1.22E+00,1.34E+01,1.10E+01,0.290007195
TECPR2,1.06E-01,3.97E-01,1.22E+00,1.22E+00,1.08E+01,8.87E+00,0.289931182
AL031009.1,7.04E-01,9.10E-01,1.22E+00,1.22E+00,1.59E+00,1.30E+00,0.289709228
AP1M1,1.30E-01,4.41E-01,1.22E+00,1.22E+00,3.28E+01,2.68E+01,0.289704986
NME7,2.33E-01,5.80E-01,1.22E+00,1.22E+00,1.10E+01,9.03E+00,0.289645155
HMGN4,4.50E-01,7.70E-01,1.22E+00,1.22E+00,2.63E+00,2.15E+00,0.289628773
CDK10,9.17E-02,3.70E-01,1.22E+00,1.22E+00,1.65E+01,1.35E+01,0.289609395
REC8,3.46E-01,6.93E-01,1.22E+00,1.22E+00,1.33E+00,1.09E+00,0.289596286
LSM14B,6.36E-02,3.03E-01,1.22E+00,1.22E+00,1.96E+01,1.61E+01,0.289585135
PAK4,4.11E-01,7.44E-01,1.22E+00,1.22E+00,1.60E+01,1.31E+01,0.289467185
UGGT1,7.42E-03,8.14E-02,1.22E+00,1.22E+00,5.00E+01,4.09E+01,0.289419687
CHMP4BP1,7.59E-01,9.32E-01,1.22E+00,1.22E+00,2.02E+00,1.65E+00,0.289307437
OTULIN,1.39E-01,4.55E-01,1.22E+00,1.22E+00,1.84E+01,1.51E+01,0.28928767
IFNAR1,1.43E-01,4.60E-01,1.22E+00,1.22E+00,2.80E+01,2.29E+01,0.289229068
ARNTL,2.39E-01,5.85E-01,1.22E+00,1.22E+00,6.24E+00,5.11E+00,0.289192202
RPL26P19,7.32E-01,9.22E-01,1.22E+00,1.22E+00,3.97E+01,3.25E+01,0.288989123
PHLDB3,4.96E-01,8.01E-01,1.22E+00,1.22E+00,2.16E+00,1.77E+00,0.288819854
RPAP1,1.21E-01,4.25E-01,1.22E+00,1.22E+00,1.07E+01,8.80E+00,0.288655099
MIA2,5.63E-02,2.84E-01,1.22E+00,1.22E+00,3.82E+01,3.13E+01,0.288647548
FARS2,5.43E-01,8.29E-01,1.22E+00,1.22E+00,6.76E+00,5.54E+00,0.288590039
NDUFAF1,3.06E-01,6.54E-01,1.22E+00,1.22E+00,5.11E+00,4.19E+00,0.288581547
PIK3R3,5.20E-01,8.16E-01,1.22E+00,1.22E+00,3.82E+00,3.13E+00,0.288473989
RASSF5,5.50E-01,8.33E-01,1.22E+00,1.22E+00,1.71E+00,1.40E+00,0.288365448
ATF5,3.99E-02,2.30E-01,1.22E+00,1.22E+00,5.11E+01,4.18E+01,0.28826269
GTPBP1,1.36E-01,4.51E-01,1.22E+00,1.22E+00,7.64E+00,6.25E+00,0.288094261
ZNF45,3.26E-01,6.72E-01,1.22E+00,1.22E+00,6.05E+00,4.95E+00,0.288091823
FAM160B1,2.18E-01,5.62E-01,1.22E+00,1.22E+00,9.93E+00,8.14E+00,0.287915631
Sep-01,4.67E-01,7.80E-01,1.22E+00,1.22E+00,4.21E+00,3.45E+00,0.287790551
MYO1E,1.37E-02,1.21E-01,1.22E+00,1.22E+00,1.69E+02,1.39E+02,0.28774578
ULK1,1.84E-02,1.44E-01,1.22E+00,1.22E+00,3.30E+01,2.71E+01,0.287715644
FOXA2,8.93E-01,9.75E-01,1.22E+00,1.22E+00,6.57E+01,5.38E+01,0.287455989
ARL8B,2.99E-02,1.93E-01,1.22E+00,1.22E+00,7.71E+01,6.32E+01,0.287431724
DNAJB1,8.60E-02,3.58E-01,1.22E+00,1.22E+00,1.24E+02,1.02E+02,0.287409408
DNAJB9,4.25E-01,7.54E-01,1.22E+00,1.22E+00,4.81E+00,3.94E+00,0.287205481
CHUK,5.11E-01,8.11E-01,1.22E+00,1.22E+00,1.13E+01,9.28E+00,0.287196518
ATG4A,5.38E-01,8.25E-01,1.22E+00,1.22E+00,5.84E+00,4.79E+00,0.286945372
SUMF2,8.59E-02,3.58E-01,1.22E+00,1.22E+00,3.88E+01,3.18E+01,0.286715825
GSTK1,2.18E-02,1.59E-01,1.22E+00,1.22E+00,4.29E+01,3.52E+01,0.286415686
SUOX,1.91E-01,5.31E-01,1.22E+00,1.22E+00,7.70E+00,6.32E+00,0.286401725
PLPPR2,2.18E-01,5.63E-01,1.22E+00,1.22E+00,4.75E+00,3.89E+00,0.286282351
DERA,9.29E-01,9.83E-01,1.22E+00,1.22E+00,1.36E+01,1.11E+01,0.286080013
SLC39A10,2.15E-02,1.58E-01,1.22E+00,1.22E+00,7.28E+01,5.97E+01,0.285990924
B4GALT4,5.27E-01,8.20E-01,1.22E+00,1.22E+00,1.92E+01,1.58E+01,0.285552138
APTX,1.42E-02,1.23E-01,1.22E+00,1.22E+00,3.89E+01,3.20E+01,0.285543882
TMEM101,5.29E-02,2.73E-01,1.22E+00,1.22E+00,2.01E+01,1.65E+01,0.285306098
C19orf53,1.91E-01,5.31E-01,1.22E+00,1.22E+00,1.04E+02,8.54E+01,0.285191212
CCDC117,1.13E-01,4.08E-01,1.22E+00,1.22E+00,2.35E+01,1.93E+01,0.285114112
ZNF678,2.23E-01,5.68E-01,1.22E+00,1.22E+00,5.89E+00,4.83E+00,0.285108861
EFL1,2.04E-01,5.46E-01,1.22E+00,1.22E+00,2.31E+01,1.89E+01,0.284980903
SLC39A4,4.52E-01,7.71E-01,1.22E+00,1.22E+00,3.20E+01,2.63E+01,0.284947873
ZNF776,2.38E-01,5.84E-01,1.22E+00,1.22E+00,5.78E+00,4.75E+00,0.284825759
AC022182.3,3.12E-01,6.59E-01,1.22E+00,1.22E+00,1.23E+01,1.01E+01,0.28481631
UTP15,2.27E-01,5.73E-01,1.22E+00,1.22E+00,2.57E+01,2.11E+01,0.284799925
YIPF5,8.25E-03,8.66E-02,1.22E+00,1.22E+00,4.62E+01,3.79E+01,0.284347729
SUMF1,2.06E-01,5.48E-01,1.22E+00,1.22E+00,1.26E+01,1.04E+01,0.284270542
FAM217B,7.10E-02,3.22E-01,1.22E+00,1.22E+00,3.84E+01,3.15E+01,0.284121253
MSNP1,4.34E-01,7.60E-01,1.22E+00,1.22E+00,1.20E+01,9.83E+00,0.284070543
MED23,2.02E-01,5.44E-01,1.22E+00,1.22E+00,6.67E+00,5.48E+00,0.284055602
AREG,2.04E-01,5.47E-01,1.22E+00,1.22E+00,1.03E+02,8.43E+01,0.28395998
KCTD10,4.06E-01,7.40E-01,1.22E+00,1.22E+00,1.79E+01,1.47E+01,0.283936865
ZNF654,3.55E-01,6.99E-01,1.22E+00,1.22E+00,7.19E+00,5.91E+00,0.283777207
COX15,1.32E-01,4.45E-01,1.22E+00,1.22E+00,3.76E+01,3.08E+01,0.283755164
AC007238.1,5.61E-02,2.83E-01,1.22E+00,1.22E+00,4.64E+01,3.81E+01,0.28354391
LPP,1.98E-02,1.50E-01,1.22E+00,1.22E+00,8.39E+01,6.89E+01,0.283528477
EPB41L5,3.46E-01,6.92E-01,1.22E+00,1.22E+00,5.59E+00,4.59E+00,0.283448767
TMEM184A,4.56E-01,7.74E-01,1.22E+00,1.22E+00,1.67E+01,1.37E+01,0.283321201
HTR1D,9.40E-01,9.86E-01,1.22E+00,1.22E+00,2.79E+00,2.30E+00,0.283177948
RNF41,4.17E-02,2.37E-01,1.22E+00,1.22E+00,1.59E+01,1.30E+01,0.28316174
NRP1,3.00E-03,4.35E-02,1.22E+00,1.22E+00,8.83E+01,7.26E+01,0.283135858
PPP1R21,2.82E-01,6.33E-01,1.22E+00,1.22E+00,1.05E+01,8.66E+00,0.28310806
POFUT2,3.34E-01,6.79E-01,1.22E+00,1.22E+00,5.46E+00,4.49E+00,0.283020785
UMAD1,9.47E-01,9.88E-01,1.22E+00,1.22E+00,3.83E+00,3.14E+00,0.283007058
ABHD3,5.82E-01,8.51E-01,1.22E+00,1.22E+00,2.52E+00,2.07E+00,0.282765503
AC024995.1,4.46E-01,7.68E-01,1.22E+00,1.22E+00,4.99E+00,4.10E+00,0.282530676
AC068547.1,3.38E-01,6.84E-01,1.22E+00,1.22E+00,3.15E+00,2.59E+00,0.282419062
TMEM135,3.33E-01,6.79E-01,1.22E+00,1.22E+00,1.15E+01,9.44E+00,0.282274035
MMS19,9.91E-02,3.84E-01,1.22E+00,1.22E+00,7.10E+01,5.84E+01,0.282260077
PLBD2,9.11E-02,3.68E-01,1.22E+00,1.22E+00,1.81E+01,1.49E+01,0.282243219
F2R,1.85E-01,5.21E-01,1.22E+00,1.22E+00,1.62E+01,1.33E+01,0.282154101
ESYT2,1.86E-01,5.22E-01,1.22E+00,1.22E+00,3.26E+01,2.68E+01,0.282151217
CNTLN,1.19E-02,1.09E-01,1.22E+00,1.22E+00,6.68E+01,5.50E+01,0.282122067
RNF24,2.34E-01,5.80E-01,1.22E+00,1.22E+00,1.38E+01,1.14E+01,0.282070291
CREB1,3.24E-02,2.04E-01,1.22E+00,1.22E+00,2.67E+01,2.19E+01,0.282019637
SRC,8.83E-01,9.72E-01,1.22E+00,1.22E+00,6.30E+01,5.18E+01,0.282010827
RUNDC1,1.56E-01,4.79E-01,1.22E+00,1.22E+00,3.33E+01,2.74E+01,0.28163572
PHLPP1,2.12E-01,5.55E-01,1.22E+00,1.22E+00,9.68E+00,7.96E+00,0.281596657
SMG1P3,4.99E-01,8.03E-01,1.22E+00,1.22E+00,3.30E+00,2.71E+00,0.281451706
LIMS1,6.52E-03,7.42E-02,1.22E+00,1.22E+00,6.33E+01,5.21E+01,0.281123951
SKIV2L,1.24E-01,4.30E-01,1.21E+00,1.21E+00,1.29E+01,1.06E+01,0.280904314
TAGLN,1.94E-01,5.35E-01,1.21E+00,1.21E+00,2.70E+00,2.22E+00,0.280726303
MEF2A,2.01E-01,5.43E-01,1.21E+00,1.21E+00,1.94E+01,1.59E+01,0.280704102
CYSTM1,2.95E-01,6.44E-01,1.21E+00,1.21E+00,3.32E+01,2.74E+01,0.280559117
AL161909.1,3.19E-01,6.66E-01,1.21E+00,1.21E+00,9.07E+01,7.46E+01,0.280526397
SNAPC5,2.91E-01,6.41E-01,1.21E+00,1.21E+00,2.65E+01,2.18E+01,0.280489787
RAB29,2.66E-01,6.15E-01,1.21E+00,1.21E+00,3.20E+01,2.63E+01,0.280488837
RAB8A,2.18E-02,1.59E-01,1.21E+00,1.21E+00,7.83E+01,6.45E+01,0.280398957
ETNK2,6.13E-01,8.66E-01,1.21E+00,1.21E+00,2.60E+00,2.14E+00,0.280355909
TNFAIP1,1.40E-01,4.56E-01,1.21E+00,1.21E+00,3.82E+01,3.14E+01,0.280143417
RAMMET,1.40E-01,4.56E-01,1.21E+00,1.21E+00,2.12E+01,1.75E+01,0.280141296
PCYT2,2.35E-01,5.80E-01,1.21E+00,1.21E+00,9.22E+00,7.59E+00,0.279986486
MCM3,2.13E-02,1.58E-01,1.21E+00,1.21E+00,9.43E+01,7.77E+01,0.27982644
ADCK5,5.61E-01,8.40E-01,1.21E+00,1.21E+00,3.47E+00,2.86E+00,0.279785459
DLGAP4,1.28E-01,4.37E-01,1.21E+00,1.21E+00,3.23E+01,2.66E+01,0.279594622
S1PR2,2.06E-01,5.49E-01,1.21E+00,1.21E+00,1.78E+00,1.46E+00,0.279581213
GNA12,2.40E-01,5.86E-01,1.21E+00,1.21E+00,2.73E+01,2.25E+01,0.279499441
CCDC82,4.25E-02,2.40E-01,1.21E+00,1.21E+00,2.77E+01,2.29E+01,0.279212591
NME4,8.48E-02,3.54E-01,1.21E+00,1.21E+00,1.18E+02,9.76E+01,0.27919628
ZFAND2A,1.84E-01,5.20E-01,1.21E+00,1.21E+00,1.37E+01,1.13E+01,0.279142152
EMC3-AS1,1.66E-01,4.92E-01,1.21E+00,1.21E+00,1.14E+01,9.41E+00,0.279061695
KATNA1,1.79E-01,5.13E-01,1.21E+00,1.21E+00,8.89E+00,7.33E+00,0.279025069
ARAF,7.24E-02,3.25E-01,1.21E+00,1.21E+00,2.00E+01,1.65E+01,0.278995375
COLGALT1,6.97E-02,3.19E-01,1.21E+00,1.21E+00,6.33E+01,5.22E+01,0.27894362
WWP1P1,8.96E-01,9.76E-01,1.21E+00,1.21E+00,2.58E+00,2.12E+00,0.278908068
MGME1,5.57E-02,2.82E-01,1.21E+00,1.21E+00,2.89E+01,2.38E+01,0.278892205
SLC35B2,6.70E-01,8.90E-01,1.21E+00,1.21E+00,5.98E+00,4.93E+00,0.278829737
GRIPAP1,2.38E-01,5.84E-01,1.21E+00,1.21E+00,4.93E+01,4.06E+01,0.278822529
MRPL43,4.72E-03,5.94E-02,1.21E+00,1.21E+00,6.04E+01,4.98E+01,0.278745111
SKIL,1.42E-01,4.60E-01,1.21E+00,1.21E+00,6.03E+01,4.97E+01,0.278555053
MFSD11,1.52E-01,4.75E-01,1.21E+00,1.21E+00,8.65E+00,7.13E+00,0.278515699
DNASE1L1,3.99E-01,7.35E-01,1.21E+00,1.21E+00,5.91E+00,4.87E+00,0.27850287
BTN2A1,3.08E-01,6.56E-01,1.21E+00,1.21E+00,9.44E+00,7.78E+00,0.278272618
GOLT1B,5.54E-01,8.35E-01,1.21E+00,1.21E+00,1.95E+01,1.61E+01,0.278241404
ANKEF1,2.63E-01,6.13E-01,1.21E+00,1.21E+00,1.19E+01,9.82E+00,0.278223145
SMIM3,4.38E-01,7.63E-01,1.21E+00,1.21E+00,2.39E+00,1.97E+00,0.278004518
SLC52A2,7.16E-02,3.24E-01,1.21E+00,1.21E+00,4.20E+01,3.46E+01,0.277834297
NCKAP1,2.17E-01,5.62E-01,1.21E+00,1.21E+00,4.36E+01,3.59E+01,0.277790994
C2orf68,1.10E-01,4.02E-01,1.21E+00,1.21E+00,1.59E+01,1.31E+01,0.277747331
MOSPD1,3.29E-01,6.75E-01,1.21E+00,1.21E+00,1.29E+01,1.06E+01,0.27760346
ZKSCAN3,7.52E-01,9.30E-01,1.21E+00,1.21E+00,2.78E+00,2.29E+00,0.27757737
NUDT16,2.17E-01,5.61E-01,1.21E+00,1.21E+00,1.05E+01,8.68E+00,0.277310703
EPS15,1.37E-01,4.52E-01,1.21E+00,1.21E+00,1.81E+01,1.49E+01,0.277024757
MAPK6,6.20E-02,2.99E-01,1.21E+00,1.21E+00,8.88E+01,7.33E+01,0.277007067
AC022868.1,2.34E-01,5.80E-01,1.21E+00,1.21E+00,1.21E+02,9.95E+01,0.27692189
AL590762.3,4.14E-01,7.46E-01,1.21E+00,1.21E+00,9.72E+00,8.02E+00,0.276833132
VSIG10L,8.72E-01,9.69E-01,1.21E+00,1.21E+00,6.73E+00,5.56E+00,0.276524402
DNAJB5,7.56E-01,9.31E-01,1.21E+00,1.21E+00,1.42E+00,1.17E+00,0.276439517
KIF21A,9.49E-03,9.46E-02,1.21E+00,1.21E+00,1.12E+02,9.26E+01,0.276379157
CHMP1A,2.62E-02,1.79E-01,1.21E+00,1.21E+00,3.38E+01,2.79E+01,0.276114486
SPNS1,1.78E-01,5.11E-01,1.21E+00,1.21E+00,1.43E+01,1.18E+01,0.276108015
LRRC59,1.02E-03,2.04E-02,1.21E+00,1.21E+00,1.64E+02,1.36E+02,0.275928648
STRN,1.28E-01,4.38E-01,1.21E+00,1.21E+00,2.60E+01,2.15E+01,0.275904348
KIAA1522,2.64E-01,6.14E-01,1.21E+00,1.21E+00,2.05E+01,1.69E+01,0.275781791
GADD45A,2.52E-02,1.74E-01,1.21E+00,1.21E+00,1.89E+01,1.56E+01,0.275712539
YBX3P1,5.55E-01,8.35E-01,1.21E+00,1.21E+00,3.28E+00,2.71E+00,0.275710853
ARSD,7.58E-02,3.33E-01,1.21E+00,1.21E+00,2.45E+01,2.02E+01,0.27568695
ANKRD46,4.56E-01,7.73E-01,1.21E+00,1.21E+00,7.52E+00,6.21E+00,0.275670883
AL157713.1,6.37E-01,8.77E-01,1.21E+00,1.21E+00,8.80E+00,7.27E+00,0.27555941
SNX21,3.10E-01,6.57E-01,1.21E+00,1.21E+00,2.25E+00,1.86E+00,0.275479156
REXO1,2.82E-01,6.33E-01,1.21E+00,1.21E+00,4.47E+00,3.69E+00,0.275438969
LRFN3,5.80E-01,8.49E-01,1.21E+00,1.21E+00,9.39E+00,7.76E+00,0.275105936
AC068888.1,3.52E-01,6.97E-01,1.21E+00,1.21E+00,1.09E+01,8.99E+00,0.27508707
ANXA11,3.40E-02,2.09E-01,1.21E+00,1.21E+00,1.35E+02,1.11E+02,0.275062532
AL645608.6,3.86E-02,2.26E-01,1.21E+00,1.21E+00,5.08E+01,4.20E+01,0.274927807
ROGDI,2.58E-01,6.07E-01,1.21E+00,1.21E+00,7.17E+00,5.93E+00,0.2748666
RRAS,1.33E-01,4.46E-01,1.21E+00,1.21E+00,4.92E+01,4.07E+01,0.274826504
SLC39A11,5.99E-02,2.92E-01,1.21E+00,1.21E+00,2.07E+01,1.71E+01,0.274771832
NKIRAS2,1.03E-01,3.92E-01,1.21E+00,1.21E+00,5.57E+01,4.61E+01,0.274652914
NKILA,9.02E-01,9.78E-01,1.21E+00,1.21E+00,4.75E+00,3.92E+00,0.274646361
NIT1,5.36E-01,8.25E-01,1.21E+00,1.21E+00,1.33E+01,1.10E+01,0.274540125
PPP6R1,2.73E-01,6.23E-01,1.21E+00,1.21E+00,3.60E+01,2.98E+01,0.274459176
PLAGL2,2.46E-01,5.94E-01,1.21E+00,1.21E+00,5.95E+00,4.92E+00,0.274424404
NMI,1.92E-02,1.48E-01,1.21E+00,1.21E+00,2.93E+01,2.42E+01,0.274323715
RGS5,7.70E-01,9.36E-01,1.21E+00,1.21E+00,1.23E+00,1.02E+00,0.27416593
ZNF234,2.24E-01,5.69E-01,1.21E+00,1.21E+00,6.57E+00,5.44E+00,0.274160343
RECK,2.92E-01,6.41E-01,1.21E+00,1.21E+00,6.03E+00,4.99E+00,0.274061128
SEC11C,1.98E-01,5.40E-01,1.21E+00,1.21E+00,3.85E+01,3.19E+01,0.273973557
NBN,2.65E-01,6.14E-01,1.21E+00,1.21E+00,6.17E+01,5.10E+01,0.273883559
SLC39A7,1.25E-01,4.31E-01,1.21E+00,1.21E+00,4.70E+01,3.89E+01,0.273668232
EIF4ENIF1,1.48E-01,4.69E-01,1.21E+00,1.21E+00,1.16E+01,9.62E+00,0.273532598
ATXN7L1,2.53E-01,6.02E-01,1.21E+00,1.21E+00,8.23E+00,6.81E+00,0.273456244
NR1D1,2.57E-01,6.06E-01,1.21E+00,1.21E+00,1.80E+00,1.49E+00,0.273341823
TMEM41A,1.53E-01,4.76E-01,1.21E+00,1.21E+00,2.11E+01,1.75E+01,0.273324907
DOCK5,1.18E-02,1.08E-01,1.21E+00,1.21E+00,7.92E+01,6.55E+01,0.272967358
SAP130,2.07E-01,5.50E-01,1.21E+00,1.21E+00,1.11E+01,9.19E+00,0.272899293
SRD5A3,2.60E-01,6.09E-01,1.21E+00,1.21E+00,8.01E+00,6.63E+00,0.272886607
RHOQ,1.98E-02,1.51E-01,1.21E+00,1.21E+00,1.00E+02,8.30E+01,0.272685995
RASSF9,8.87E-01,9.74E-01,1.21E+00,1.21E+00,5.45E+00,4.51E+00,0.272570831
CRYBG3,1.08E-01,3.99E-01,1.21E+00,1.21E+00,3.79E+01,3.14E+01,0.272509028
RHOBTB3,3.71E-02,2.20E-01,1.21E+00,1.21E+00,3.41E+01,2.82E+01,0.271934236
RAB30-AS1,2.44E-01,5.92E-01,1.21E+00,1.21E+00,1.26E+01,1.04E+01,0.271907984
PTGR1,1.60E-01,4.84E-01,1.21E+00,1.21E+00,1.21E+02,1.00E+02,0.271866444
PTPRM,2.99E-01,6.46E-01,1.21E+00,1.21E+00,1.95E+01,1.61E+01,0.271783691
CCDC130,4.82E-01,7.91E-01,1.21E+00,1.21E+00,9.34E+00,7.73E+00,0.271585111
PSME2,8.23E-02,3.49E-01,1.21E+00,1.21E+00,6.03E+01,4.99E+01,0.271544428
SERPINB9,3.71E-01,7.13E-01,1.21E+00,1.21E+00,7.59E+00,6.29E+00,0.271515598
NEU3,4.33E-01,7.60E-01,1.21E+00,1.21E+00,9.02E+00,7.48E+00,0.271381903
LINC00973,8.76E-01,9.70E-01,1.21E+00,1.21E+00,6.94E+00,5.75E+00,0.271244841
FANCB,1.29E-01,4.40E-01,1.21E+00,1.21E+00,1.30E+01,1.08E+01,0.270885092
RTN4RL1,3.44E-01,6.90E-01,1.21E+00,1.21E+00,7.20E-01,5.97E-01,0.270499961
DICER1,1.23E-02,1.12E-01,1.21E+00,1.21E+00,9.20E+01,7.63E+01,0.270484124
KIAA0100,2.15E-02,1.58E-01,1.21E+00,1.21E+00,5.09E+01,4.22E+01,0.270378147
CENPT,2.44E-01,5.92E-01,1.21E+00,1.21E+00,6.52E+00,5.41E+00,0.270156125
CREBL2,6.78E-02,3.14E-01,1.21E+00,1.21E+00,2.35E+01,1.95E+01,0.27005924
VASH2,3.44E-01,6.90E-01,1.21E+00,1.21E+00,4.34E+00,3.60E+00,0.27003834
IDS,8.14E-02,3.47E-01,1.21E+00,1.21E+00,9.98E+01,8.27E+01,0.27002093
RPP25L,1.24E-01,4.30E-01,1.21E+00,1.21E+00,1.94E+01,1.61E+01,0.269863011
SLC16A5,6.62E-01,8.88E-01,1.21E+00,1.21E+00,1.11E+01,9.23E+00,0.269708383
MSH5,8.33E-01,9.56E-01,1.21E+00,1.21E+00,4.57E+00,3.79E+00,0.269668861
ZXDB,2.37E-01,5.82E-01,1.21E+00,1.21E+00,3.81E+00,3.16E+00,0.269550472
ITFG2,2.80E-01,6.31E-01,1.21E+00,1.21E+00,1.16E+01,9.63E+00,0.269398775
